tissue,n_genes_with_eqtl,pct_genes_with_eqtl,mean_rank,median_rank,mean_score,n_in_top10pct,n_in_top20pct,mannwhitney_p,hypergeom_p_top10,enriched,mannwhitney_fdr,hypergeom_fdr_top10
Brain_Amygdala,422,11.328859060402685,1764.3530805687203,1733.5,0.03196039060392755,43,98,0.022936503991456934,0.4684236874755212,True,0.033130505765437794,0.4684236874755212
Brain_Anterior_cingulate_cortex_BA24,592,15.89261744966443,1805.4256756756756,1822.0,0.03440399226411155,67,138,0.07855006976696886,0.13554727027565291,False,0.07855006976696886,0.16019222850758982
Brain_Caudate_basal_ganglia,852,22.87248322147651,1797.555164319249,1744.5,0.027752913164061373,99,202,0.021675716897978373,0.042015853422774065,True,0.033130505765437794,0.06827576181200785
Brain_Cerebellar_Hemisphere,1004,26.953020134228186,1792.339641434263,1737.5,0.029853713116004033,120,229,0.00753862522365453,0.009701541968593564,True,0.014000303986786984,0.042040015197238774
Brain_Cerebellum,1013,27.19463087248322,1767.3998025666338,1716.0,0.032292965214326445,127,244,0.0004652695467170069,0.0011242740605189566,True,0.0030242520536605446,0.014615562786746436
Brain_Cortex,853,22.899328859060404,1772.514654161782,1749.0,0.0323077320601336,100,208,0.0026479816281381125,0.03284000149926173,True,0.007511909763657151,0.06098857421291464
Brain_Frontal_Cortex_BA9,832,22.335570469798657,1751.876201923077,1735.5,0.037981625661908186,98,198,0.00036596771253175124,0.030861114788081942,True,0.0030242520536605446,0.06098857421291464
Brain_Hippocampus,608,16.322147651006713,1792.0970394736842,1798.0,0.032259507064879116,65,137,0.03802263336962947,0.2849394480307323,True,0.04119118615043193,0.3086844020332933
Brain_Hypothalamus,607,16.29530201342282,1785.0494233937397,1762.0,0.03464504976203539,74,142,0.025554568555839912,0.030422319137273852,True,0.033220939122591886,0.06098857421291464
Brain_Nucleus_accumbens_basal_ganglia,784,21.046979865771814,1753.7908163265306,1696.5,0.031391463308123056,95,190,0.0007006561020647558,0.016264140938911834,True,0.003036176442280608,0.052858458051463456
Brain_Putamen_basal_ganglia,684,18.36241610738255,1760.235380116959,1702.5,0.03144878772392182,77,163,0.002889196062945058,0.12452030905278835,True,0.007511909763657151,0.16019222850758982
Brain_Spinal_cord_cervical_c-1,547,14.684563758389261,1750.3857404021937,1782.0,0.04474875892378491,72,137,0.0039386661142277795,0.005670481910268075,True,0.008533776580826855,0.03685813241674249
Brain_Substantia_nigra,427,11.463087248322148,1774.9718969555036,1782.0,0.042184300694589325,51,97,0.036087375288556774,0.09091856300525329,True,0.04119118615043193,0.1313268132298103
